time_step,hopper_level,belt_speed,flow_rate,olives_weight,label_jam_imminent,vibrator_intensity
0,99.98,0.488,1.27,297.2,0,0.0
1,99.94,0.493,1.71,299.3,0,0.0
2,99.93,0.495,1.75,291.0,0,0.0
3,99.83,0.489,1.6,314.0,0,0.0
4,99.74,0.488,1.95,305.5,0,0.0
5,99.69,0.519,1.12,309.7,0,0.0
6,99.66,0.513,1.26,297.7,0,0.0
7,99.59,0.493,1.54,285.8,0,0.0
8,99.59,0.515,1.78,296.3,0,0.0
9,99.53,0.5,1.89,292.9,0,0.0
10,99.45,0.508,1.48,304.9,0,0.0
11,99.42,0.502,1.36,296.7,0,0.0
12,99.33,0.515,1.52,314.2,0,0.0
13,99.26,0.489,1.92,302.8,0,0.0
14,99.24,0.501,1.75,312.1,0,0.0
15,99.23,0.486,1.04,313.0,0,0.0
16,99.22,0.511,1.02,291.8,0,0.0
17,99.19,0.509,1.2,306.0,0,0.0
18,99.17,0.51,1.76,311.4,0,0.0
19,99.12,0.507,1.84,305.3,0,0.0
20,99.1,0.516,1.19,305.1,0,0.0
21,99.1,0.504,1.87,290.6,0,0.0
22,99.04,0.482,1.43,297.5,0,0.0
23,98.97,0.502,1.37,313.7,0,0.0
24,98.89,0.505,1.23,299.3,0,0.0
25,98.88,0.502,1.99,309.1,0,0.0
26,98.85,0.504,0.97,289.4,0,0.0
27,98.84,0.511,1.2,293.3,0,0.0
28,98.81,0.51,1.45,311.3,0,0.0
29,98.8,0.518,1.55,301.3,0,0.0
30,98.72,0.481,1.33,299.8,0,0.0
31,98.63,0.503,1.06,285.2,0,0.0
32,98.53,0.481,1.43,301.2,0,0.0
33,98.51,0.505,1.3,288.7,0,0.0
34,98.42,0.503,1.92,303.7,0,0.0
35,98.42,0.482,1.09,292.4,0,0.0
36,98.36,0.483,1.25,289.0,0,0.0
37,98.31,0.492,1.81,300.8,0,0.0
38,98.27,0.514,1.77,301.2,0,0.0
39,98.17,0.519,1.77,304.7,0,0.0
40,98.16,0.518,1.29,290.3,0,0.0
41,98.12,0.502,1.82,297.0,0,0.0
42,98.05,0.504,1.7,290.6,0,0.0
43,98.04,0.513,2.01,297.8,0,0.0
44,98.02,0.509,1.97,294.3,0,0.0
45,97.94,0.484,1.25,297.6,0,0.0
46,97.92,0.52,2.01,291.4,0,0.0
47,97.83,0.492,1.51,293.3,0,0.0
48,97.74,0.486,1.27,302.5,0,0.0
49,97.65,0.514,1.8,306.5,0,0.0
50,97.58,0.485,1.81,289.8,0,0.0
51,97.49,0.497,1.11,286.1,0,0.0
52,97.43,0.491,1.18,288.7,0,0.0
53,97.4,0.507,1.35,313.2,0,0.0
54,97.33,0.495,0.96,288.6,0,0.0
55,97.29,0.515,1.12,287.7,0,0.0
56,97.27,0.498,1.84,295.8,0,0.0
57,97.25,0.507,1.97,311.9,0,0.0
58,97.23,0.519,1.58,298.1,0,0.0
59,97.15,0.493,1.62,307.4,0,0.0
60,97.06,0.499,1.0,292.7,0,0.0
61,97.03,0.506,1.16,306.7,0,0.0
62,97.01,0.492,1.07,314.0,0,0.0
63,96.98,0.519,1.42,294.2,0,0.0
64,96.95,0.509,1.84,296.9,0,0.0
65,96.9,0.5,1.24,292.7,0,0.0
66,96.84,0.512,1.84,303.0,0,0.0
67,96.83,0.498,1.53,298.7,0,0.0
68,96.75,0.491,1.23,311.1,0,0.0
69,96.7,0.481,1.88,296.6,0,0.0
70,96.68,0.519,1.34,309.0,0,0.0
71,96.6,0.501,1.53,298.6,0,0.0
72,96.52,0.513,1.35,300.0,0,0.0
73,96.46,0.486,1.7,304.8,0,0.0
74,96.43,0.483,1.67,295.5,0,0.0
75,96.37,0.509,1.54,291.0,0,0.0
76,96.32,0.483,1.25,296.6,0,0.0
77,96.32,0.516,1.66,291.7,0,0.0
78,96.27,0.512,2.09,313.4,0,0.0
79,96.23,0.52,1.51,293.6,0,0.0
80,96.18,0.516,1.8,289.4,0,0.0
81,96.12,0.512,1.08,303.1,0,0.0
